Tax Year,Tax code,Agency,Agency Name,Agency Rate,Tax code Rate
2015,10001,010010000,COUNTY OF COOK,0.552,8.095
2015,10001,010010001,CONSOLIDATED ELECTIONS,0.034,8.095
2015,10001,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,8.095
2015,10001,020010000,TOWN   BARRINGTON,0.033,8.095
2015,10001,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,8.095
2015,10001,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.095
2015,10001,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.466,8.095
2015,10001,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,5.126,8.095
2015,10001,044030010,LAKE CO TAX OBJ CT ORD-220,0.077,8.095
2015,10001,050040000,BARRINGTON PARK DISTRICT,0.895,8.095
2015,10001,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.266,8.095
2015,10001,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.565,8.095
2015,10001,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.011,8.095
2015,10002,010010000,COUNTY OF COOK,0.552,9.578
2015,10002,010010001,CONSOLIDATED ELECTIONS,0.034,9.578
2015,10002,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,9.578
2015,10002,020010000,TOWN   BARRINGTON,0.033,9.578
2015,10002,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,9.578
2015,10002,020010003,ROAD AND BRIDGE BARRINGTON,0.000,9.578
2015,10002,030040000,VILLAGE OF   BARRINGTON HILLS,1.771,9.578
2015,10002,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.466,9.578
2015,10002,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,5.126,9.578
2015,10002,044030010,LAKE CO TAX OBJ CT ORD-220,0.077,9.578
2015,10002,050030000,BARRINGTON HILLS PARK DISTRICT,0.057,9.578
2015,10002,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.266,9.578
2015,10002,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.115,9.578
2015,10002,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.011,9.578
2015,10003,010010000,COUNTY OF COOK,0.552,7.849
2015,10003,010010001,CONSOLIDATED ELECTIONS,0.034,7.849
2015,10003,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,7.849
2015,10003,020010000,TOWN   BARRINGTON,0.033,7.849
2015,10003,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,7.849
2015,10003,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.849
2015,10003,031180000,VILLAGE OF   SOUTH BARRINGTON,0.649,7.849
2015,10003,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.466,7.849
2015,10003,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,5.126,7.849
2015,10003,044030010,LAKE CO TAX OBJ CT ORD-220,0.077,7.849
2015,10003,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.266,7.849
2015,10003,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.565,7.849
2015,10003,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.011,7.849
