Tax Year,Tax code,Agency,Agency Name,Agency Rate,Tax code Rate
2017,10001,010010000,COUNTY OF COOK,0.496,7.155
2017,10001,010010001,CONSOLIDATED ELECTIONS,0.031,7.155
2017,10001,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,7.155
2017,10001,020010000,TOWN BARRINGTON,0.031,7.155
2017,10001,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,7.155
2017,10001,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.155
2017,10001,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,7.155
2017,10001,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,7.155
2017,10001,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,7.155
2017,10001,050040000,BARRINGTON PARK DISTRICT,0.756,7.155
2017,10001,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,7.155
2017,10001,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,7.155
2017,10001,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,7.155
2017,10002,010010000,COUNTY OF COOK,0.496,8.248
2017,10002,010010001,CONSOLIDATED ELECTIONS,0.031,8.248
2017,10002,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,8.248
2017,10002,020010000,TOWN BARRINGTON,0.031,8.248
2017,10002,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,8.248
2017,10002,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.248
2017,10002,030040000,VILLAGE OF   BARRINGTON HILLS,1.222,8.248
2017,10002,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,8.248
2017,10002,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,8.248
2017,10002,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,8.248
2017,10002,050030000,BARRINGTON HILLS PARK DISTRICT,0.048,8.248
2017,10002,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,8.248
2017,10002,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.064,8.248
2017,10002,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,8.248
2017,10003,010010000,COUNTY OF COOK,0.496,6.939
2017,10003,010010001,CONSOLIDATED ELECTIONS,0.031,6.939
