Tax Year,Tax code,Agency,Agency Name,Agency Rate,Tax code Rate
2014,10001,010010000,COUNTY OF COOK,0.568,7.840
2014,10001,010010001,CONSOLIDATED ELECTIONS,0.000,7.840
2014,10001,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,7.840
2014,10001,020010000,TOWN   BARRINGTON,0.032,7.840
2014,10001,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,7.840
2014,10001,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.840
2014,10001,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,7.840
2014,10001,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,7.840
2014,10001,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,7.840
2014,10001,050040000,BARRINGTON PARK DISTRICT,0.867,7.840
2014,10001,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,7.840
2014,10001,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.540,7.840
2014,10001,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,7.840
2014,10002,010010000,COUNTY OF COOK,0.568,9.406
2014,10002,010010001,CONSOLIDATED ELECTIONS,0.000,9.406
2014,10002,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,9.406
2014,10002,020010000,TOWN   BARRINGTON,0.032,9.406
2014,10002,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,9.406
2014,10002,020010003,ROAD AND BRIDGE BARRINGTON,0.000,9.406
2014,10002,030040000,VILLAGE OF   BARRINGTON HILLS,1.796,9.406
2014,10002,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,9.406
2014,10002,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,9.406
2014,10002,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,9.406
2014,10002,050030000,BARRINGTON HILLS PARK DISTRICT,0.054,9.406
2014,10002,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,9.406
2014,10002,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.123,9.406
2014,10002,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,9.406
2014,10003,010010000,COUNTY OF COOK,0.568,7.599
2014,10003,010010001,CONSOLIDATED ELECTIONS,0.000,7.599
2014,10003,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,7.599
2014,10003,020010000,TOWN   BARRINGTON,0.032,7.599
2014,10003,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,7.599
2014,10003,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.599
2014,10003,031180000,VILLAGE OF   SOUTH BARRINGTON,0.626,7.599
2014,10003,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,7.599
2014,10003,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,7.599
2014,10003,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,7.599
2014,10003,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,7.599
2014,10003,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.540,7.599
2014,10003,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,7.599
2014,10004,010010000,COUNTY OF COOK,0.568,11.305
2014,10004,010010001,CONSOLIDATED ELECTIONS,0.000,11.305
2014,10004,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,11.305
