Tax Year,Tax code,Agency,Agency Name,Agency Rate,Tax code Rate
2016,10001,010010000,COUNTY OF COOK,0.533,7.132
2016,10001,010010001,CONSOLIDATED ELECTIONS,0,7.132
2016,10001,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.063,7.132
2016,10001,020010000,TOWN   BARRINGTON,0.03,7.132
2016,10001,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,7.132
2016,10001,020010003,ROAD AND BRIDGE BARRINGTON,0,7.132
2016,10001,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.416,7.132
2016,10001,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.538,7.132
2016,10001,044030010,LAKE CO TAX OBJ CT ORD-220,0.065,7.132
2016,10001,050040000,BARRINGTON PARK DISTRICT,0.763,7.132
2016,10001,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.231,7.132
2016,10001,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.482,7.132
2016,10001,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.01,7.132
2016,10002,010010000,COUNTY OF COOK,0.533,8.218
2016,10002,010010001,CONSOLIDATED ELECTIONS,0,8.218
2016,10002,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.063,8.218
2016,10002,020010000,TOWN   BARRINGTON,0.03,8.218
2016,10002,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,8.218
2016,10002,020010003,ROAD AND BRIDGE BARRINGTON,0,8.218
2016,10002,030040000,VILLAGE OF   BARRINGTON HILLS,1.254,8.218
2016,10002,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.416,8.218
2016,10002,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.538,8.218
2016,10002,044030010,LAKE CO TAX OBJ CT ORD-220,0.065,8.218
2016,10002,050030000,BARRINGTON HILLS PARK DISTRICT,0.048,8.218
2016,10002,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.231,8.218
2016,10002,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.029,8.218
2016,10002,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.01,8.218
2016,10003,010010000,COUNTY OF COOK,0.533,6.916
2016,10003,010010001,CONSOLIDATED ELECTIONS,0,6.916
2016,10003,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.063,6.916
2016,10003,020010000,TOWN   BARRINGTON,0.03,6.916
2016,10003,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,6.916
2016,10003,020010003,ROAD AND BRIDGE BARRINGTON,0,6.916
2016,10003,031180000,VILLAGE OF   SOUTH BARRINGTON,0.547,6.916
2016,10003,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.416,6.916
2016,10003,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.538,6.916
2016,10003,044030010,LAKE CO TAX OBJ CT ORD-220,0.065,6.916
2016,10003,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.231,6.916
2016,10003,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.482,6.916
2016,10003,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.01,6.916
2016,10004,010010000,COUNTY OF COOK,0.533,9.959
2016,10004,010010001,CONSOLIDATED ELECTIONS,0,9.959
2016,10004,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.063,9.959
2016,10004,020010000,TOWN   BARRINGTON,0.03,9.959
2016,10004,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,9.959
2016,10004,020010003,ROAD AND BRIDGE BARRINGTON,0,9.959
2016,10004,030040000,VILLAGE OF   BARRINGTON HILLS,1.254,9.959
2016,10004,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.57,9.959
2016,10004,044070000,SCHOOL DISTRICT UNIT  300,6.19,9.959
2016,10004,050030000,BARRINGTON HILLS PARK DISTRICT,0.048,9.959
2016,10004,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.231,9.959
2016,10004,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.029,9.959
2016,10004,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.01,9.959
2016,10005,010010000,COUNTY OF COOK,0.533,7.904
2016,10005,010010001,CONSOLIDATED ELECTIONS,0,7.904
2016,10005,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.063,7.904
2016,10005,020010000,TOWN   BARRINGTON,0.03,7.904
2016,10005,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,7.904
2016,10005,020010003,ROAD AND BRIDGE BARRINGTON,0,7.904
2016,10005,030040000,VILLAGE OF   BARRINGTON HILLS,1.254,7.904
2016,10005,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.416,7.904
2016,10005,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.538,7.904
2016,10005,044030010,LAKE CO TAX OBJ CT ORD-220,0.065,7.904
